timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
1,2,53000.0,49804.6875,49804.6875,13.686798095703125,12.863420881330967,12.863420881330967,849.0,2,0.0,0.0,0.21382904052734375,0.0,0.0,0.0,0.0
2,2,144000.0,49804.6875,49804.6875,37.17970657348633,12.863420881330967,12.863420881330967,1823.0,2,6.066671558280205E-7,900.1751313485115,0.4590024948120117,1.5278393760773632E-10,0.22670141243475334,1.648350319270428E9,1.1108949416342413
3,2,264000.0,107214.42885771544,78140.4549950544,68.17477989196777,27.68528485345936,20.17905898429048,3086.0,2,1262.0,1069.0943043884222,0.7769756317138672,0.3176889419555664,0.2691792506797641,0.7923930269413629,0.9353711790393013
4,2,377000.0,116000.0,90668.43150231635,97.37599277496338,29.951934814453125,23.412968921472032,4344.0,2,1276.0,1134.9458943348186,1.0937986373901367,0.3213825225830078,0.285793913920771,0.7836990595611285,0.8810992708917554
5,2,498000.0,115000.0,96718.0507210343,128.64430904388428,29.72140121459961,24.98145034691399,5593.0,2,1258.0,1164.654756156446,1.4081497192382812,0.3166027069091797,0.2932320580512415,0.794912559618442,0.8586235489220564
6,2,616000.0,119000.0,101154.91835921943,159.1251392364502,30.750479698181152,26.130201711164723,6761.0,2,1132.0,1158.3041618047453,1.7022676467895508,0.2850484848022461,0.291640542444669,0.8833922261484098,0.8633310946944258
7,2,740000.0,119000.0,104118.23314513451,191.12651252746582,30.739691734313965,26.895643428725208,8035.0,2,1278.0,1177.7922500814066,2.0230226516723633,0.32181358337402344,0.29655311830421877,0.7824726134585289,0.8490461708598286
8,2,855000.0,124000.0,106949.58701224723,220.84790706634521,32.00616455078125,27.623430543800122,9203.0,2,1192.0,1179.7815737888545,2.3171634674072266,0.3000211715698242,0.2970387040316908,0.8389261744966443,0.8476145264657013
9,2,968000.0,115000.0,107953.12889553727,250.01499843597412,29.707324028015137,27.883202855469907,10492.0,2,1269.0,1190.7393760746745,2.6420021057128906,0.3195619583129883,0.29980500890534567,0.7880220646178093,0.8398143372872615
10,2,1088000.0,114000.0,108623.36510751495,280.9904613494873,29.43170166015625,28.05483872386786,11786.0,2,1281.0,1200.612557427259,2.9674253463745117,0.3224153518676758,0.302278247032925,0.78064012490242,0.8329081632653061
11,2,1215000.0,121000.0,109858.3117142287,313.787748336792,31.234148025512695,28.372071741393786,13082.0,2,1288.0,1209.2289489252614,3.293705940246582,0.3243074417114258,0.30445032302173397,0.7763975155279503,0.8269732550554468
12,2,1332000.0,126000.0,111322.80892759934,344.0356216430664,32.54948806762695,28.75107884774773,14378.0,2,1309.0,1218.1834500089751,3.6200618743896484,0.3295869827270508,0.30670635063843804,0.7639419404125286,0.8208944227510498
13,2,1465000.0,119000.0,111961.40409249709,378.4094657897949,30.760967254638672,28.91826304396225,15692.0,2,1298.0,1224.75704167353,3.9510698318481445,0.32678985595703125,0.30836040312720375,0.7704160246533128,0.8164884674870554
14,2,1593000.0,131000.0,113423.4372600215,411.47032165527344,33.86437511444092,29.298090418442257,16996.0,2,1317.0,1231.7759853903517,4.279262542724609,0.3316202163696289,0.31013028695329,0.7593014426727411,0.8118359278477885
15,2,1720000.0,129000.0,114534.30323776921,444.27881813049316,33.30912113189697,29.5841431009023,18259.0,2,1294.0,1236.1759298543348,4.597085952758789,0.3258218765258789,0.311239860533589,0.7727975270479135,0.8089463448118064
16,2,1843000.0,124000.0,115164.4255092531,476.04969024658203,32.03479194641113,29.747280422531166,19520.0,2,1253.0,1237.2870162462027,4.914629936218262,0.3153829574584961,0.3115134767616241,0.7980845969672785,0.8082199092607419
