timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,47000.0,30465.949820788526,30465.949820788526,12.21679973602295,7.9100858353372105,7.9100858353372105,819.0,2,0.0,0.0,0.20035839080810547,0.0,0.0,0.0,0.0
3,2,131000.0,74000.0,58408.215661103975,34.043620109558105,19.24079418182373,15.182684260553206,2440.0,2,5.653584164080866E-7,973.5772357723578,0.5972576141357422,1.3832749534162183E-10,0.23820729759650502,1.7687894457348642E9,1.0271398747390397
4,2,212000.0,84000.0,68412.82251759188,55.07078838348389,21.818798065185547,17.77694298011237,4087.0,2,1624.0,1301.4112903225807,0.9999885559082031,0.397369384765625,0.3184301237906179,0.6157635467980296,0.7683965917893106
5,2,293000.0,80000.0,71669.47723440135,76.1203031539917,20.77010154724121,18.618190469468423,5673.0,2,1641.0,1415.2144772117963,1.3880491256713867,0.4015226364135742,0.3462761400851743,0.6093845216331505,0.7066066777172626
6,2,381000.0,85000.0,74594.12022817026,98.97856330871582,22.084060668945312,19.378583229336105,7310.0,2,1584.0,1457.5803212851406,1.7886161804199219,0.3875741958618164,0.3566421179407572,0.6313131313131313,0.6860685379714138
7,2,468000.0,86000.0,76646.27563871897,121.56873416900635,22.332956314086914,19.91013650115165,8924.0,2,1637.0,1493.5794542536116,2.183561325073242,0.4005270004272461,0.36544727092761287,0.6108735491753207,0.6695325094035465
8,2,555000.0,88000.0,78377.55413235743,144.16900157928467,22.8596134185791,20.359889004571514,10525.0,2,1622.0,1515.0401069518716,2.575322151184082,0.3969259262084961,0.3707077413956749,0.6165228113440198,0.6600485329803663
9,2,645000.0,89000.0,79783.01137867161,167.54351997375488,23.114094734191895,20.724298336355105,12125.0,2,1593.0,1526.2027491408935,2.966740608215332,0.38978004455566406,0.3734385980909769,0.6277463904582549,0.6552209400506614
10,2,728000.0,87000.0,80626.31455947651,189.09028148651123,22.58966636657715,20.942266089360718,13770.0,2,1603.0,1535.8216432865731,3.369248390197754,0.39221954345703125,0.3757909209073665,0.6238303181534622,0.6511172728755504
11,2,819000.0,85000.0,81083.90876752458,212.73164081573486,22.079215049743652,21.061218690363326,15424.0,2,1650.0,1548.5307212822795,3.773980140686035,0.4036989212036133,0.3788973323383824,0.6060606060606061,0.6457734330074756
12,2,903000.0,90000.0,81928.39552945633,234.55322265625,23.37715244293213,21.28057214296503,17060.0,2,1655.0,1559.1947115384614,4.174343109130859,0.40496063232421875,0.3815078391478612,0.6042296072507553,0.6413567161302756
